호선,역명,일시,측정값,데이터기준일자
2,강남,2024-01-06 08,13.4,2024-02-29
2,강남,2024-01-06 09,17.8,2024-02-29
2,강남,2024-01-06 10,22.6,2024-02-29
2,강남,2024-01-06 11,21.9,2024-02-29
2,강남,2024-01-06 12,24.6,2024-02-29
2,강남,2024-01-06 13,27.2,2024-02-29
2,강남,2024-01-06 14,28.4,2024-02-29
2,강남,2024-01-06 15,26,2024-02-29
2,강남,2024-01-06 16,22.9,2024-02-29
2,강남,2024-01-06 17,26.2,2024-02-29
2,강남,2024-01-06 18,29.1,2024-02-29
2,강남,2024-01-06 19,22.3,2024-02-29
2,강남,2024-01-06 20,23.7,2024-02-29
2,강남,2024-01-06 21,21,2024-02-29
2,강남,2024-01-06 22,21.6,2024-02-29
2,강남,2024-01-06 23,22.6,2024-02-29
2,강남,2024-01-07 00,20.3,2024-02-29
2,강남,2024-01-07 01,22.6,2024-02-29
2,강남,2024-01-07 02,20.3,2024-02-29
2,강남,2024-01-07 03,21,2024-02-29
2,강남,2024-01-07 04,24.1,2024-02-29
2,강남,2024-01-07 05,25.3,2024-02-29
2,강남,2024-01-07 06,14.7,2024-02-29
2,강남,2024-01-07 07,15.4,2024-02-29
2,강남,2024-01-07 08,17,2024-02-29
2,강남,2024-01-07 09,17.9,2024-02-29
2,강남,2024-01-07 10,20.2,2024-02-29
2,강남,2024-01-07 11,18.3,2024-02-29
2,강남,2024-01-07 12,22.5,2024-02-29
2,강남,2024-01-07 13,21.1,2024-02-29
2,강남,2024-01-07 14,24.9,2024-02-29
2,강남,2024-01-07 15,20.8,2024-02-29
2,강남,2024-01-07 16,5.9,2024-02-29
2,강남,2024-01-07 17,26.9,2024-02-29
2,강남,2024-01-07 18,42.9,2024-02-29
2,강남,2024-01-07 19,34.5,2024-02-29
2,강남,2024-01-07 20,36.1,2024-02-29
2,강남,2024-01-07 21,28.8,2024-02-29
2,강남,2024-01-07 22,19,2024-02-29
2,강남,2024-01-07 23,12.5,2024-02-29
2,강남,2024-01-08 00,9.2,2024-02-29
2,강남,2024-01-08 01,9.2,2024-02-29
2,강남,2024-01-08 02,5.5,2024-02-29
2,강남,2024-01-08 03,8.1,2024-02-29
2,강남,2024-01-08 04,6,2024-02-29
2,강남,2024-01-08 05,13.7,2024-02-29
2,강남,2024-01-08 06,9.5,2024-02-29
2,강남,2024-01-08 07,15.3,2024-02-29
2,강남,2024-01-08 08,34.4,2024-02-29
2,강남,2024-01-08 09,47.4,2024-02-29
2,강남,2024-01-08 10,43.2,2024-02-29
2,강남,2024-01-08 11,21.8,2024-02-29
2,강남,2024-01-08 12,23.1,2024-02-29
2,강남,2024-01-08 13,22.7,2024-02-29
2,강남,2024-01-08 14,22.6,2024-02-29
2,강남,2024-01-08 15,23.1,2024-02-29
2,강남,2024-01-08 16,26.3,2024-02-29
2,강남,2024-01-08 17,27.1,2024-02-29
2,강남,2024-01-08 18,30.9,2024-02-29
2,강남,2024-01-08 19,38,2024-02-29
2,강남,2024-01-08 20,28.5,2024-02-29
2,강남,2024-01-08 21,20.8,2024-02-29
2,강남,2024-01-08 22,18.2,2024-02-29
2,강남,2024-01-08 23,15.7,2024-02-29
2,강남,2024-01-09 00,18.1,2024-02-29
2,강남,2024-01-09 01,42.3,2024-02-29
2,강남,2024-01-09 02,31,2024-02-29
2,강남,2024-01-09 03,20.4,2024-02-29
2,강남,2024-01-09 04,15.4,2024-02-29
2,강남,2024-01-09 05,16.6,2024-02-29
2,강남,2024-01-09 06,6.7,2024-02-29
2,강남,2024-01-09 07,10.9,2024-02-29
2,강남,2024-01-09 08,26.3,2024-02-29
2,강남,2024-01-09 09,50.9,2024-02-29
2,강남,2024-01-09 10,46.6,2024-02-29
2,강남,2024-01-09 11,34.5,2024-02-29
2,강남,2024-01-09 12,33.4,2024-02-29
2,강남,2024-01-09 13,34.3,2024-02-29
2,강남,2024-01-09 14,39.3,2024-02-29
2,강남,2024-01-09 15,37.6,2024-02-29
2,강남,2024-01-09 16,29.7,2024-02-29
2,강남,2024-01-09 17,28.4,2024-02-29
2,강남,2024-01-09 18,4.9,2024-02-29
2,강남,2024-01-09 19,16.6,2024-02-29
2,강남,2024-01-09 20,36.1,2024-02-29
2,강남,2024-01-09 21,33.5,2024-02-29
2,강남,2024-01-09 22,29.2,2024-02-29
2,강남,2024-01-09 23,26.3,2024-02-29
2,강남,2024-01-10 00,40.9,2024-02-29
2,강남,2024-01-10 01,70.9,2024-02-29
2,강남,2024-01-10 02,67.9,2024-02-29
2,강남,2024-01-10 03,57.9,2024-02-29
2,강남,2024-01-10 04,59.2,2024-02-29
2,강남,2024-01-10 05,54.3,2024-02-29
2,강남,2024-01-10 06,41.2,2024-02-29
