업소명,소재지(도로명),업태명
커피베이 동대신점,"부산광역시 서구 보수대로 221-1, 1층 (동대신동3가)",커피숍
감성커피 충무대로점,"부산광역시 서구 충무대로 163-2, 1층 (남부민동)",커피숍
카페 브루니,"부산광역시 서구 대영로 29, 1,2층 (서대신동2가)",커피숍
블루포트 동아대 부민캠퍼스점,"부산광역시 서구 구덕로 225, 동아대학교부민캠퍼스 지하1층 (부민동2가)",커피숍
스타벅스 부산송도해수욕장점,"부산광역시 서구 송도해변로 97, 1,2층 101, 102, 201호 (암남동)",커피숍
도솔,"부산광역시 서구 엄광산로40번길 26, 3층 (서대신동3가)",커피숍
카페 프랜즈,"부산광역시 서구 천마로50번길 70, 이태석 신부 기념 1층 (남부민동)",커피숍
언더베이크,"부산광역시 서구 구덕로 168, 1층 (토성동3가)",커피숍
엠바크,"부산광역시 서구 고운들로35번길 12, 1층 (부민동3가)",커피숍
하다커피,"부산광역시 서구 고운들로 33, 1층 (부용동2가)",커피숍
세진,"부산광역시 서구 구덕로 253, 1층 (부용동2가)",커피숍
하삼동 대신푸르지오점,"부산광역시 서구 고운들로 142, 1층 (서대신동1가)",커피숍
부산서구지역자활센터 가온비 서구점,"부산광역시 서구 구덕로 127, 1층 (토성동5가)",커피숍
밥먹고쉼터,부산광역시 서구 대티로 175-1 (서대신동3가),커피숍
가온커피,부산광역시 서구 암남공원로 235 (암남동),커피숍
공차 부산송도점,"부산광역시 서구 송도해변로 81, 2,3층 (암남동)",커피숍
브레댄코 부산남포점,"부산광역시 서구 보수대로 27, 101동 1층 122호 (토성동1가, 경동 리인)",커피숍
라 루엘라(la ruelle),"부산광역시 서구 부용로32번길 27-12, 1층 (부용동2가)",커피숍
달달하모,"부산광역시 서구 대영로 89, 1층 101호 (동대신동2가, 이지벨빌리지)",커피숍
텐퍼센트(서구청점),"부산광역시 서구 구덕로148번길 38, 1층 (토성동4가)",커피숍
텐퍼센트 송도암남공원로점,"부산광역시 서구 암남공원로 47-8, 2층 (암남동)",커피숍
해돋이 카페,"부산광역시 서구 해돋이로 357-27, 1층 (서대신동1가)",커피숍
공차 부산동대신점,부산광역시 서구 구덕로 316 (동대신동2가),커피숍
오이소(OESO),"부산광역시 서구 구덕로296번길 24, 1,2,3층 (동대신동2가)",커피숍
윙고(WINGO),"부산광역시 서구 대신공원로 26, 동아대학교병원 지하동 2층 (동대신동3가)",커피숍
투썸플레이스 부산서대신점,"부산광역시 서구 구덕로321번길 11, 1층 (서대신동2가)",커피숍
텐퍼센트커피 동아대학병원점,"부산광역시 서구 동대로19번길 32, 상가동 1층 106 일부호 (동대신동3가, 브라운스톤 하이포레)",커피숍
건강을 주는 드림떡.빵,"부산광역시 서구 망양로21번길 18-1, 1층 (서대신동3가)",커피숍
하삼동커피 동아대병원점,"부산광역시 서구 동대로19번길 32, 301동 103호 (동대신동3가, 브라운스톤 하이포레)",커피숍
카페 커랜,"부산광역시 서구 부용로 41-1, 1층 (서대신동1가)",커피숍
커피나라,"부산광역시 서구 충무대로255번길 6, 1층 (충무동1가)",커피숍
헬로우(HELLO),"부산광역시 서구 구덕로157번길 3, 1층 (초장동)",커피숍
하삼동커피 자갈치역점,"부산광역시 서구 구덕로 102-1, 1층 (충무동1가)",커피숍
공차 부산동아대부민점,"부산광역시 서구 구덕로 220, 한웅캠퍼스타워 1층 101호 (부민동1가)",커피숍
디아펠리즈 dia feliz,"부산광역시 서구 암남공원로 39, 301동 102,104호 (암남동, 송도 풍림아이원)",커피숍
사단법인 부산연탄은행 청소년창작스페이스 사부작,"부산광역시 서구 까치고개로 179, 1층 (아미동2가)",커피숍
어린 왕자,"부산광역시 서구 암남공원로 181, 송도케이블카 106호 (암남동)",커피숍
"설레봄,프룻","부산광역시 서구 고운들로 181, 상가동 101호 (서대신동2가, 대신 푸르지오 2차)",커피숍
컴커피 부용점(구 카페오미니),"부산광역시 서구 보수대로 115, 1층 (부용동1가)",커피숍
청솔로9  대신점,"부산광역시 서구 대영로 19-2, 1층 (서대신동2가)",커피숍
오구플라워,"부산광역시 서구 구덕로295번길 40, 1층 (서대신동2가)",커피숍
플라워카페 오구,"부산광역시 서구 구덕로295번길 40, 1층 (서대신동2가)",커피숍
컴포즈 동아대부민캠퍼스점,"부산광역시 서구 구덕로232번길 3, 1층 (부용동1가)",커피숍
블루샥 부산대학교병원점,"부산광역시 서구 구덕로185번길 32-5, 1층 (아미동2가)",커피숍
스타벅스 동아대병원점,"부산광역시 서구 동대로 8, 1,2층 (동대신동3가)",커피숍
EL(이엘)16.52,"부산광역시 서구 암남공원로 177, 3-4층 (암남동)",커피숍
카페온,"부산광역시 서구 구덕로 192-1, 1층 (토성동3가)",커피숍
Cafe INSTEAD(카페 인스테드),"부산광역시 서구 보수대로 198, 1층 (동대신동2가)",커피숍
카페로뎀,"부산광역시 서구 대신로 84, 1층 (서대신동3가)",커피숍
그린하이 커피,"부산광역시 서구 원양로 1, 수산가공선진화단지 B동 6층 607호 (암남동)",커피숍
mmug ring(엠머그링),"부산광역시 서구 구덕로 230-1, 1층 (부민동1가)",커피숍
하이오커피 서대신점,"부산광역시 서구 부용로 14, 1층 일부호 (서대신동1가)",커피숍
쿠앤키,"부산광역시 서구 고운들로 41, 1층 (부민동3가)",커피숍
카페 데이지민,"부산광역시 서구 대신로 48, 1층 (서대신동3가)",커피숍
어랏커피 동대신점,"부산광역시 서구 대영로73번길 15-1, 삼익아파트 101호 (동대신동2가)",커피숍
아띠,"부산광역시 서구 충무대로267번길 4, 1층 (충무동1가)",커피숍
김준호의 대단한커피 부산토성점,부산광역시 서구 구덕로 지하 170 (토성동3가),커피숍
