storeNumber,countryCode,ownershipTypeCode,latitude,longitude
63758-298187,AE,LS,25.252985,55.366166
1719-136469,AE,LS,25.19834,55.27844
20347-204885,AE,LS,25.266795,55.355415
48097-261445,AE,LS,25.200078,55.275122
1801-136467,AE,LS,25.194946,55.279258
32292-111724,AE,LS,25.200837,55.27365
23974-234508,AE,LS,25.204797,55.270852
32144-123448,AE,LS,25.194108,55.276799
54634-288365,AE,LS,25.193461,55.275872
32329-111864,AE,LS,25.19097,55.278268
18857-187024,AE,LS,25.208165,55.262536
63305-297431,AE,LS,25.259902,55.372894
48396-262946,AE,LS,25.191536,55.267392
25406-240945,AE,LS,25.232497,55.386295
34284-65720,AE,LS,25.216583,55.25253
54632-288361,AE,LS,25.17714,55.281207
21600-213424,AE,LS,25.258705,55.381125
26915-237081,AE,LS,25.215955,55.250767
54633-288362,AE,LS,25.17412,55.283361
28258-250593,AE,LS,25.198592,55.248568
4143-147546,AE,LS,25.215973,55.409539
34259-54260,AE,LS,25.29743,55.371903
51593-278777,AE,LS,25.216871,55.410021
65074-299362,AE,LS,25.160459,55.370307
1359-138434,AE,LS,25.321535,55.375703
34253-62541,AE,LS,25.33381,55.375645
53312-284650,AE,LS,25.347002,55.368358
34291-80114,AE,LS,25.168955,55.227421
3183-143827,AE,LS,25.169505,55.241709
63443-298046,AE,LS,25.180482,55.234971
65075-299360,AE,LS,25.178726,55.242529
18026-187444,AE,LS,25.1854,55.231484
17787-183964,AE,LS,25.156861,55.205695
53402-280624,AE,LS,25.155405,55.181644
34317-95971,AE,LS,25.133537,55.185668
26743-245288,AE,LS,25.118742,55.202801
30780-154130,AE,LS,25.118437,55.203113
26048-243344,AE,LS,25.118568,55.196847
15060-156348,AE,LS,25.107851,55.197906
56096-289638,AE,LS,25.104321,55.201419
63227-297732,AE,LS,25.110489,55.185525
15976-165685,AE,LS,25.099555,55.204816
29311-253249,AE,LS,25.121773,55.163079
29218-253009,AE,LS,25.105943,55.180592
49593-270100,AE,LS,25.133931,55.151772
54218-285704,AE,LS,25.115648,55.163795
61125-294448,AE,LS,25.114732,55.164715
63475-297063,AE,LS,25.097185,55.18106
